iter	Passed	Remaining
419	2429	3354
420	2435	3349
421	2439	3341
422	2445	3335
423	2449	3328
424	2456	3323
425	2462	3317
426	2468	3312
427	2472	3304
428	2478	3299
429	2484	3293
430	2488	3285
431	2492	3276
432	2497	3270
433	2504	3265
434	2509	3259
435	2514	3252
436	2520	3246
437	2524	3239
438	2529	3231
439	2535	3226
440	2539	3219
441	2546	3214
442	2553	3210
443	2558	3204
444	2564	3198
445	2570	3193
446	2576	3186
447	2579	3178
448	2583	3170
449	2589	3165
450	2595	3159
451	2599	3151
452	2604	3145
453	2610	3139
454	2616	3133
455	2620	3126
456	2626	3120
457	2631	3113
458	2639	3110
459	2643	3103
460	2649	3098
461	2656	3092
462	2662	3087
463	2666	3080
464	2671	3073
465	2677	3068
466	2682	3061
467	2687	3055
468	2692	3048
469	2695	3040
470	2702	3035
471	2708	3030
472	2714	3023
473	2719	3017
474	2724	3011
475	2731	3006
476	2739	3003
477	2746	2999
478	2752	2993
479	2759	2989
480	2765	2984
481	2771	2978
482	2776	2972
483	2781	2965
484	2786	2958
485	2789	2950
486	2795	2944
487	2800	2938
488	2806	2932
489	2812	2926
490	2818	2922
491	2823	2915
492	2828	2908
493	2832	2901
494	2838	2895
495	2844	2890
496	2850	2884
497	2855	2878
498	2860	2871
499	2865	2865
500	2871	2859
501	2876	2853
502	2882	2847
503	2887	2841
504	2894	2837
505	2900	2831
506	2905	2825
507	2911	2819
508	2916	2813
509	2923	2808
510	2927	2801
511	2933	2795
512	2939	2790
513	2945	2785
514	2950	2778
515	2956	2773
516	2960	2766
517	2966	2760
518	2973	2755
519	2978	2749
520	2983	2742
521	2989	2737
522	2995	2732
523	3001	2726
524	3008	2722
525	3014	2716
526	3020	2710
527	3026	2705
528	3037	2704
529	3046	2701
530	3055	2698
531	3062	2694
532	3068	2688
533	3075	2684
534	3082	2679
535	3089	2674
536	3096	2669
537	3103	2665
538	3109	2659
539	3116	2654
540	3121	2648
541	3126	2642
542	3133	2637
543	3137	2630
544	3143	2624
545	3149	2619
546	3155	2612
547	3162	2608
548	3166	2600
549	3169	2593
550	3174	2586
551	3182	2582
552	3187	2576
553	3193	2570
554	3198	2564
555	3202	2557
556	3210	2553
557	3213	2545
558	3219	2540
559	3224	2533
560	3229	2527
561	3234	2520
562	3237	2513
563	3243	2507
564	3249	2501
565	3258	2498
566	3263	2491
567	3268	2485
568	3273	2479
569	3277	2472
570	3283	2466
571	3289	2461
572	3293	2454
573	3298	2448
574	3304	2442
575	3309	2436
576	3316	2431
577	3322	2426
578	3328	2420
579	3334	2414
580	3338	2407
581	3344	2401
582	3348	2395
583	3356	2390
584	3361	2384
585	3368	2379
586	3376	2375
587	3385	2372
588	3389	2364
589	3395	2359
590	3401	2353
591	3407	2348
592	3413	2342
593	3418	2336
594	3424	2330
595	3429	2324
596	3433	2317
597	3439	2312
598	3444	2305
599	3449	2299
600	3453	2292
601	3458	2286
602	3464	2280
603	3469	2274
604	3474	2268
605	3478	2261
606	3484	2256
607	3489	2250
608	3495	2244
609	3500	2238
610	3505	2231
611	3511	2226
612	3516	2220
613	3522	2214
614	3529	2209
615	3536	2204
616	3543	2199
617	3549	2194
618	3555	2188
619	3561	2182
620	3566	2176
621	3572	2170
622	3577	2165
623	3582	2158
624	3590	2154
625	3595	2148
626	3601	2142
627	3607	2136
628	3611	2129
629	3616	2123
630	3622	2118
631	3628	2112
632	3634	2107
633	3640	2101
634	3645	2095
635	3651	2090
636	3657	2084
637	3663	2078
638	3668	2072
639	3675	2067
640	3681	2061
641	3686	2055
642	3690	2048
643	3695	2043
644	3701	2037
645	3707	2031
646	3713	2025
647	3719	2020
648	3726	2015
649	3730	2008
650	3735	2002
651	3741	1997
652	3745	1990
653	3750	1984
654	3757	1979
655	3763	1973
656	3769	1967
657	3775	1962
658	3781	1956
659	3787	1950
660	3793	1945
661	3798	1939
662	3804	1933
663	3810	1928
664	3818	1923
665	3824	1917
666	3828	1911
667	3834	1905
668	3839	1899
669	3845	1893
670	3851	1888
671	3858	1883
672	3863	1877
673	3869	1871
674	3874	1865
675	3880	1859
676	3885	1853
677	3890	1847
678	3897	1842
679	3900	1835
680	3904	1828
681	3912	1824
682	3918	1818
683	3924	1812
684	3928	1806
685	3932	1800
686	3936	1793
687	3941	1787
688	3946	1781
689	3952	1775
690	3959	1770
691	3964	1764
692	3969	1758
693	3975	1752
694	3980	1747
695	3986	1741
696	3992	1735
697	3998	1729
698	4004	1724
699	4011	1719
700	4016	1713
701	4020	1706
702	4025	1700
703	4029	1694
704	4034	1688
705	4041	1682
706	4046	1677
707	4051	1671
708	4057	1665
709	4062	1659
710	4067	1653
711	4073	1647
712	4080	1642
713	4085	1636
714	4093	1631
715	4100	1626
716	4109	1622
717	4115	1616
718	4121	1610
719	4126	1604
720	4131	1598
721	4136	1592
722	4141	1586
723	4146	1580
724	4152	1575
725	4158	1569
726	4163	1563
727	4169	1557
728	4174	1551
729	4179	1545
730	4184	1539
731	4190	1534
732	4197	1528
733	4202	1522
734	4207	1517
735	4213	1511
736	4217	1505
737	4222	1499
738	4228	1493
739	4234	1487
